1,Badminton,35,25,10,5,0,0,0,0,
2,Basketball,50,35,15,5,0,0,0,0,
3,Cricket(boys),50,35,15,5,0,0,0,0,
4,Cricket(girls),50,35,15,5,0,0,0,0,
5,Football,50,35,15,5,0,0,0,0,
6,Futsal,35,25,10,5,0,0,0,0,
7,Dodge Ball,35,25,10,5,0,0,0,0,
8,Lawn tennis,35,25,10,5,0,0,0,0,
9,Table tennis,35,25,10,5,0,0,0,0,
10,Volleyball,50,35,15,5,0,0,0,0,
11,Throwball(girls),50,35,15,5,0,0,0,0,
12,Kho kho(boys),50,35,15,5,0,0,0,0,
13,Kho kho(girls),50,35,15,5,0,0,0,0,
14,Tug of War,50,35,15,5,0,0,0,0,
15,Kabaddi,50,35,15,5,0,0,0,0,
16,Marathon(boys),25,20,15,0,0,0,0,0,
17,Marathon(girls),25,20,15,0,0,0,0,0,
18,Cycling,35,25,15,0,0,0,0,0,
19,Slow cycling,10,6,4,0,0,0,0,0,
20,100m boys,15,10,5,0,0,0,0,0,
21,100 m girls,15,10,5,0,0,0,0,0,
22,400m girls,15,10,5,0,0,0,0,0,
23,4*100m relay,35,25,10,5,0,0,0,0,
24,400m boys,15,10,5,0,0,0,0,0,
25,Shot put(boys),15,10,5,0,0,0,0,0,
26,Shot put(girls),15,10,5,0,0,0,0,0,
27,Discus throw(boys),15,10,5,0,0,0,0,0,
28,Discus throw(girls),15,10,5,0,0,0,0,0,
29,Long jump(boys),15,10,5,0,0,0,0,0,
30,Long jump(girls),15,10,5,0,0,0,0,0,
31,Javelin throw(boys),15,10,5,0,0,0,0,0,
32,NFS,35,25,10,5,0,0,0,0,
33,FIFA,35,25,10,5,0,0,0,0,
34,DOTA2,35,25,10,5,0,0,0,0,
35,Counter Strike,35,25,10,5,0,0,0,0,
36,Chess,35,25,10,5,0,0,0,0,
37,Carrom,35,25,10,5,0,0,0,0,
38,Poker,15,10,5,0,0,0,0,0,
39,Dance Faceoff,35,25,10,5,0,0,0,0,
40,Dramatics(Stage),50,35,15,5,0,0,0,0,
41,Dramatics(Street),50,35,15,5,0,0,0,0,
42,Video,70,50,35,25,20,15,10,5,
43,Rally,70,50,35,25,20,15,10,5,
44,Dance,35,25,10,5,0,0,0,0,
45,Instrumental,50,35,15,5,0,0,0,0,
46,Singing,35,25,10,5,0,0,0,0,
47,Meri Marzi,20,10,5,0,0,0,0,0,
48,Antakshari,20,10,5,0,0,0,0,0,
49,Dubsmash,15,10,5,0,0,0,0,0,
50,Radio Ad Making,10,6,4,0,0,0,0,0,
51,JAM,10,6,4,0,0,0,0,0,
52,Creative Writing,10,6,4,0,0,0,0,0,
53,Debates,20,10,5,0,0,0,0,0,
54,Kaavya Paath,20,10,5,0,0,0,0,0,
55,Quiz,20,10,5,0,0,0,0,0,
56,Cloth Painting,20,10,5,0,0,0,0,0,
57,Rangoli,20,10,5,0,0,0,0,0,
58,Face painting,10,6,4,0,0,0,0,0,
59,Collage,10,6,4,0,0,0,0,0,
60,Campus DŽcor,35,25,15,10,0,0,0,0,
61,Pic of the first day,5,0,0,0,0,0,0,0,
62,Pic of the second day,5,0,0,0,0,0,0,0,
63,Pic of the third day,5,0,0,0,0,0,0,0,
64,Pic of the fourth day,5,0,0,0,0,0,0,0,
65,Pic of the fifth day,5,0,0,0,0,0,0,0,
66,Pic of the sixth day,5,0,0,0,0,0,0,0,
67,Pic of the seventh day,5,0,0,0,0,0,0,0,
68,Pic of the eighth day,5,0,0,0,0,0,0,0,
69,Pic of the ninth day,5,0,0,0,0,0,0,0,
70,Pic of the tenth day,5,0,0,0,0,0,0,0,
71,Enthusiasm day 1,0,0,0,0,0,0,0,0,
72,Enthusiasm day 2,0,0,0,0,0,0,0,0,
73,Enthusiasm day 3,0,0,0,0,0,0,0,0,
74,Enthusiasm day 4,0,0,0,0,0,0,0,0,
75,Enthusiasm day 5,0,0,0,0,0,0,0,0,
76,Enthusiasm day 6,0,0,0,0,0,0,0,0,
77,Enthusiasm day 7,0,0,0,0,0,0,0,0,
78,Enthusiasm day 8,0,0,0,0,0,0,0,0,
79,Enthusiasm day 9,0,0,0,0,0,0,0,0,
80,Enthusiasm day 10,0,0,0,0,0,0,0,0,
